标题,标题链接,时间
2025年9月份70个大中城市商品住宅销售价格变动情况,https://www.stats.gov.cn/sj/zxfb/202510/t20251020_1961597.html,2025/10/20
2025年8月份70个大中城市商品住宅销售价格变动情况,https://www.stats.gov.cn/sj/zxfb/202509/t20250915_1961175.html,2025/9/15
2025年7月份70个大中城市商品住宅销售价格变动情况,https://www.stats.gov.cn/sj/zxfb/202508/t20250815_1960781.html,2025/8/15
2025年6月份70个大中城市商品住宅销售价格变动情况,https://www.stats.gov.cn/sj/zxfb/202507/t20250715_1960403.html,2025/7/15
2025年5月份70个大中城市商品住宅销售价格变动情况,https://www.stats.gov.cn/sj/zxfb/202506/t20250616_1960163.html,2025/6/16
2025年4月份70个大中城市商品住宅销售价格变动情况,https://www.stats.gov.cn/sj/zxfb/202505/t20250519_1959852.html,2025/5/19
2025年3月份70个大中城市商品住宅销售价格变动情况,https://www.stats.gov.cn/sj/zxfb/202504/t20250416_1959311.html,2025/4/16
2025年2月份70个大中城市商品住宅销售价格变动情况,https://www.stats.gov.cn/sj/zxfb/202503/t20250317_1959009.html,2025/3/17
2025年1月份70个大中城市商品住宅销售价格变动情况,https://www.stats.gov.cn/sj/zxfb/202502/t20250219_1958761.html,2025/2/19
2024年12月份70个大中城市商品住宅销售价格变动情况,https://www.stats.gov.cn/sj/zxfb/202501/t20250117_1958323.html,2025/1/17
2024年11月份70个大中城市商品住宅销售价格变动情况,https://www.stats.gov.cn/sj/zxfb/202412/t20241216_1957755.html,2024/12/16
2024年10月份70个大中城市商品住宅销售价格变动情况,https://www.stats.gov.cn/sj/zxfb/202411/t20241115_1957419.html,2024/11/15
2024年9月份70个大中城市商品住宅销售价格变动情况,https://www.stats.gov.cn/sj/zxfb/202410/t20241018_1957035.html,2024/10/18
2024年8月份70个大中城市商品住宅销售价格变动情况,https://www.stats.gov.cn/sj/zxfb/202409/t20240914_1956479.html,2024/9/14
2024年7月份70个大中城市商品住宅销售价格变动情况,https://www.stats.gov.cn/sj/zxfb/202408/t20240815_1955978.html,2024/8/15
2024年6月份70个大中城市商品住宅销售价格变动情况,https://www.stats.gov.cn/sj/zxfb/202407/t20240715_1955602.html,2024/7/15
2024年5月份70个大中城市商品住宅销售价格变动情况,https://www.stats.gov.cn/sj/zxfb/202406/t20240617_1954705.html,2024/6/17
2024年4月份70个大中城市商品住宅销售价格变动情况,https://www.stats.gov.cn/sj/zxfb/202405/t20240517_1950386.html,2024/5/17
2024年3月份70个大中城市商品住宅销售价格变动情况,https://www.stats.gov.cn/sj/zxfb/202404/t20240416_1948557.html,2024/4/16
2024年2月份70个大中城市商品住宅销售价格变动情况,https://www.stats.gov.cn/sj/zxfb/202403/t20240322_1948125.html,2024/3/15
2024年1月份70个大中城市商品住宅销售价格变动情况,https://www.stats.gov.cn/sj/zxfb/202402/t20240223_1947806.html,2024/2/23
2023年12月份70个大中城市商品住宅销售价格变动情况,https://www.stats.gov.cn/sj/zxfb/202401/t20240117_1946600.html,2024/1/17
2023年11月份70个大中城市商品住宅销售价格变动情况,https://www.stats.gov.cn/sj/zxfb/202312/t20231215_1945561.html,2023/12/15
2023年10月份70个大中城市商品住宅销售价格变动情况,https://www.stats.gov.cn/sj/zxfb/202311/t20231115_1944597.html,2023/11/16
2023年9月份70个大中城市商品住宅销售价格变动情况,https://www.stats.gov.cn/sj/zxfb/202310/t20231019_1943721.html,2023/10/19
2023年8月份70个大中城市商品住宅销售价格变动情况,https://www.stats.gov.cn/sj/zxfb/202309/t20230915_1942839.html,2023/9/15
2023年7月份70个大中城市商品住宅销售价格变动情况,https://www.stats.gov.cn/sj/zxfb/202308/t20230816_1942026.html,2023/8/16
2023年6月份70个大中城市商品住宅销售价格变动情况,https://www.stats.gov.cn/sj/zxfb/202307/t20230715_1941238.html,2023/7/15
2023年5月份70个大中城市商品住宅销售价格变动情况,https://www.stats.gov.cn/sj/zxfb/202306/t20230615_1940622.html,2023/6/15
2023年4月份70个大中城市商品住宅销售价格变动情况,https://www.stats.gov.cn/sj/zxfb/202305/t20230517_1939606.html,2023/5/17
2023年3月份70个大中城市商品住宅销售价格变动情况,https://www.stats.gov.cn/sj/zxfb/202304/t20230415_1938658.html,2023/4/15
2023年2月份70个大中城市商品住宅销售价格变动情况,https://www.stats.gov.cn/sj/zxfb/202303/t20230316_1937294.html,2023/3/16
2023年1月份70个大中城市商品住宅销售价格变动情况,https://www.stats.gov.cn/sj/zxfb/202302/t20230220_1913664.html,2023/2/16
2022年12月份70个大中城市商品住宅销售价格变动情况,https://www.stats.gov.cn/sj/zxfb/202302/t20230203_1901707.html,2023/1/16
2022年11月份70个大中城市商品住宅销售价格变动情况,https://www.stats.gov.cn/sj/zxfb/202302/t20230203_1901676.html,2022/12/15
2022年10月份70个大中城市商品住宅销售价格变动情况,https://www.stats.gov.cn/sj/zxfb/202302/t20230203_1901661.html,2022/11/16
2022年9月份70个大中城市商品住宅销售价格变动情况,https://www.stats.gov.cn/sj/zxfb/202302/t20230203_1901623.html,2022/10/24
2022年8月份70个大中城市商品住宅销售价格变动情况,https://www.stats.gov.cn/sj/zxfb/202302/t20230203_1901577.html,2022/9/16
2022年7月份70个大中城市商品住宅销售价格变动情况,https://www.stats.gov.cn/sj/zxfb/202302/t20230203_1901546.html,2022/8/15
2022年6月份70个大中城市商品住宅销售价格变动情况,https://www.stats.gov.cn/sj/zxfb/202302/t20230203_1901511.html,2022/7/15
2022年5月份70个大中城市商品住宅销售价格变动情况,https://www.stats.gov.cn/sj/zxfb/202302/t20230203_1901496.html,2022/6/16
2022年4月份70个大中城市商品住宅销售价格变动情况,https://www.stats.gov.cn/sj/zxfb/202302/t20230203_1901470.html,2022/5/18
2022年3月份70个大中城市商品住宅销售价格变动情况,https://www.stats.gov.cn/sj/zxfb/202302/t20230203_1901425.html,2022/4/15
2022年2月份70个大中城市商品住宅销售价格变动情况,https://www.stats.gov.cn/sj/zxfb/202302/t20230203_1901413.html,2022/3/16
2022年1月份70个大中城市商品住宅销售价格变动情况,https://www.stats.gov.cn/sj/zxfb/202302/t20230203_1901390.html,2022/2/21
2021年12月份70个大中城市商品住宅销售价格变动情况,https://www.stats.gov.cn/sj/zxfb/202302/t20230203_1901334.html,2022/1/15
2021年11月份70个大中城市商品住宅销售价格变动情况,https://www.stats.gov.cn/sj/zxfb/202302/t20230203_1901302.html,2021/12/15
2021年10月份70个大中城市商品住宅销售价格变动情况,https://www.stats.gov.cn/sj/zxfb/202302/t20230203_1901276.html,2021/11/15
2021年9月份70个大中城市商品住宅销售价格变动情况,https://www.stats.gov.cn/sj/zxfb/202302/t20230203_1901260.html,2021/10/20
2021年8月份70个大中城市商品住宅销售价格变动情况,https://www.stats.gov.cn/sj/zxfb/202302/t20230203_1901215.html,2021/9/15
2021年7月份70个大中城市商品住宅销售价格变动情况,https://www.stats.gov.cn/sj/zxfb/202302/t20230203_1901188.html,2021/8/16
2021年6月份70个大中城市商品住宅销售价格变动情况,https://www.stats.gov.cn/sj/zxfb/202302/t20230203_1901152.html,2021/7/15
2021年5月份70个大中城市商品住宅销售价格变动情况,https://www.stats.gov.cn/sj/zxfb/202302/t20230203_1901135.html,2021/6/17
